country,year,hiv_deaths,doctors_per_1000,number_of_doctors
Guinea-Bissau,1994,120.0,0.177,177.0
Equatorial Guinea,1994,60.0,,
Greece,1994,350.0,3.8,3800.0
Guatemala,1994,600.0,,
Guyana,1994,350.0,,
Honduras,1994,3400.0,,
Croatia,1994,60.0,2.65,2650.0
Haiti,1994,8300.0,,
Hungary,1994,350.0,3.0,3000.0
Indonesia,1994,60.0,,
India,1994,26.0,,
Ireland,1994,60.0,2.0,2000.0
Iran,1994,350.0,,
Iceland,1994,60.0,2.99,2990.0
Israel,1994,60.0,3.62,3620.0
Italy,1994,5600.0,,
Jamaica,1994,1100.0,,
Japan,1994,350.0,1.77,1770.0
Kazakhstan,1994,60.0,3.64,3640.0
Kenya,1994,46.0,,
Kyrgyz Republic,1994,60.0,3.08,3080.0
Cambodia,1994,2400.0,0.105,105.0
South Korea,1994,350.0,1.06,1060.0
Lao,1994,60.0,,
Lebanon,1994,60.0,,
Liberia,1994,600.0,,
Sri Lanka,1994,60.0,0.186,186.0
Lesotho,1994,1400.0,,
Lithuania,1994,60.0,3.58,3580.0
Luxembourg,1994,60.0,2.16,2160.0
Latvia,1994,60.0,2.8,2800.0
Morocco,1994,300.0,0.363,363.0
Moldova,1994,60.0,3.46,3460.0
Madagascar,1994,1000.0,,
Maldives,1994,60.0,,
Mexico,1994,6700.0,1.6,1600.0
Mali,1994,2300.0,0.047,47.0
Malta,1994,60.0,,
Myanmar,1994,2100.0,,
Mongolia,1994,60.0,,
Mozambique,1994,8600.0,,
Mauritania,1994,350.0,,
Mauritius,1994,60.0,0.845,845.0
Malawi,1994,31.0,,
Malaysia,1994,600.0,0.449,449.0
Namibia,1994,1400.0,,
Niger,1994,1400.0,0.023,23.0
Nigeria,1994,28.0,,
Nicaragua,1994,60.0,,
Netherlands,1994,350.0,,
Norway,1994,60.0,2.79,2790.0
Nepal,1994,1700.0,,
New Zealand,1994,60.0,1.98,1980.0
Oman,1994,60.0,,
Pakistan,1994,300.0,0.512,512.0
Panama,1994,1000.0,1.14,1140.0
Peru,1994,2600.0,,
Philippines,1994,60.0,,
Papua New Guinea,1994,350.0,,
Poland,1994,350.0,2.29,2290.0
Portugal,1994,350.0,2.89,2890.0
Qatar,1994,60.0,,
Romania,1994,150.0,1.77,1770.0
Rwanda,1994,16.0,,
Sudan,1994,1900.0,0.105,105.0
Senegal,1994,350.0,0.096,96.0
Singapore,1994,60.0,1.41,1410.0
Sierra Leone,1994,60.0,,
El Salvador,1994,350.0,,
Somalia,1994,1400.0,,
Serbia,1994,350.0,,
South Sudan,1994,,,
Sao Tome and Principe,1994,60.0,,
Suriname,1994,350.0,,
Slovak Republic,1994,60.0,,
Slovenia,1994,60.0,2.19,2190.0
Sweden,1994,150.0,3.68,3680.0
Eswatini,1994,1300.0,,
Chad,1994,3200.0,0.033,33.0
Togo,1994,1300.0,0.056,56.0
Thailand,1994,25.0,,
Tajikistan,1994,60.0,2.18,2180.0
Trinidad and Tobago,1994,150.0,0.788,788.0
Tunisia,1994,60.0,0.585,585.0
Turkey,1994,60.0,1.13,1130.0
Tanzania,1994,63.0,0.042,42.0
Uganda,1994,110.0,,
Ukraine,1994,150.0,4.31,4310.0
Uruguay,1994,60.0,,
USA,1994,56.0,,
Uzbekistan,1994,60.0,3.28,3280.0
Venezuela,1994,2000.0,,
Vietnam,1994,1000.0,,
Yemen,1994,60.0,,
South Africa,1994,16.0,,
Zambia,1994,44.0,,
Zimbabwe,1994,68.0,,
Afghanistan,1995,150.0,,
Angola,1995,4300.0,,
Argentina,1995,3500.0,,
Armenia,1995,60.0,,
Australia,1995,600.0,2.48,2480.0
Austria,1995,60.0,3.51,3510.0
Azerbaijan,1995,60.0,3.7,3700.0
Burundi,1995,9800.0,0.055,55.0
Belgium,1995,60.0,3.56,3560.0
Benin,1995,600.0,0.058,58.0
Burkina Faso,1995,14.0,0.034,34.0
Bangladesh,1995,60.0,0.201,201.0
Bulgaria,1995,60.0,3.43,3430.0
Bahamas,1995,600.0,1.49,1490.0
Belarus,1995,60.0,3.05,3050.0
Belize,1995,150.0,0.6,600.0
Bolivia,1995,2100.0,0.34,340.0
Brazil,1995,12.0,1.21,1210.0
Barbados,1995,60.0,1.36,1360.0
Bhutan,1995,60.0,0.16,160.0
Botswana,1995,4100.0,,
Central African Republic,1995,6900.0,0.035,35.0
Canada,1995,2500.0,2.1,2100.0
Switzerland,1995,600.0,3.17,3170.0
China,1995,,1.19,1190.0
Cote d'Ivoire,1995,22.0,,
Cameroon,1995,8400.0,,
"Congo, Rep.",1995,5300.0,0.251,251.0
Colombia,1995,4700.0,1.05,1050.0
Comoros,1995,60.0,,
Costa Rica,1995,150.0,0.854,854.0
Cuba,1995,150.0,5.2,5200.0
Czech Republic,1995,60.0,3.0,3000.0
Germany,1995,3300.0,3.08,3080.0
Djibouti,1995,300.0,0.191,191.0
Denmark,1995,120.0,2.68,2680.0
Dominican Republic,1995,1800.0,1.5,1500.0
Algeria,1995,60.0,0.846,846.0
Ecuador,1995,1300.0,1.23,1230.0
Egypt,1995,60.0,,
Eritrea,1995,600.0,,
Spain,1995,5900.0,4.08,4080.0
Estonia,1995,60.0,3.16,3160.0
Finland,1995,60.0,2.19,2190.0
Fiji,1995,60.0,,
France,1995,7500.0,3.31,3310.0
Gabon,1995,600.0,0.286,286.0
UK,1995,1600.0,1.76,1760.0
Georgia,1995,60.0,4.79,4790.0
Ghana,1995,4400.0,,
Guinea,1995,3900.0,0.13,130.0
Gambia,1995,60.0,,
Guinea-Bissau,1995,300.0,,
Equatorial Guinea,1995,60.0,0.208,208.0
Greece,1995,350.0,3.84,3840.0
Guatemala,1995,600.0,1.1,1100.0
Guyana,1995,350.0,0.33,330.0
Honduras,1995,4300.0,0.65,650.0
Croatia,1995,60.0,2.61,2610.0
Haiti,1995,9300.0,0.16,160.0
Hungary,1995,350.0,3.0,3000.0
Indonesia,1995,60.0,,
India,1995,37.0,,
Ireland,1995,60.0,2.11,2110.0
Iran,1995,350.0,,
Iceland,1995,60.0,3.02,3020.0
Israel,1995,60.0,3.62,3620.0
Italy,1995,6500.0,3.8,3800.0
Jamaica,1995,1400.0,0.57,570.0
Japan,1995,600.0,,
Kazakhstan,1995,60.0,3.66,3660.0
Kenya,1995,60.0,0.132,132.0
Kyrgyz Republic,1995,60.0,3.13,3130.0
Cambodia,1995,3200.0,,
South Korea,1995,350.0,1.12,1120.0
Lao,1995,60.0,0.336,336.0
Lebanon,1995,60.0,,
Liberia,1995,600.0,,
Sri Lanka,1995,60.0,0.223,223.0
Lesotho,1995,2500.0,0.054,54.0
Lithuania,1995,60.0,3.57,3570.0
Luxembourg,1995,60.0,2.24,2240.0
Latvia,1995,60.0,2.73,2730.0
Morocco,1995,300.0,,
Moldova,1995,60.0,3.42,3420.0
Madagascar,1995,1100.0,0.272,272.0
Maldives,1995,60.0,,
Mexico,1995,7200.0,1.69,1690.0
Mali,1995,3200.0,0.043,43.0
Malta,1995,60.0,,
Myanmar,1995,3000.0,0.293,293.0
Mongolia,1995,60.0,,
Mozambique,1995,11.0,,
Mauritania,1995,350.0,0.138,138.0
Mauritius,1995,60.0,0.85,850.0
Malawi,1995,36.0,,
Malaysia,1995,1100.0,0.478,478.0
Namibia,1995,1900.0,,
Niger,1995,1600.0,,
Nigeria,1995,40.0,,
Nicaragua,1995,60.0,0.82,820.0
Netherlands,1995,350.0,,
Norway,1995,60.0,2.95,2950.0
Nepal,1995,2000.0,0.04,40.0
New Zealand,1995,60.0,2.05,2050.0
Oman,1995,60.0,1.14,1140.0
Pakistan,1995,300.0,0.524,524.0
Panama,1995,1200.0,1.18,1180.0
Peru,1995,3200.0,0.98,980.0
Philippines,1995,60.0,,
Papua New Guinea,1995,600.0,,
Poland,1995,350.0,2.33,2330.0
Portugal,1995,350.0,2.92,2920.0
Qatar,1995,60.0,,
Romania,1995,350.0,,
Rwanda,1995,16.0,,
Sudan,1995,2500.0,,
Senegal,1995,600.0,0.075,75.0
Singapore,1995,60.0,,
Sierra Leone,1995,150.0,,
El Salvador,1995,350.0,0.91,910.0
Somalia,1995,1700.0,,
Serbia,1995,350.0,,
South Sudan,1995,,,
Sao Tome and Principe,1995,60.0,,
Suriname,1995,350.0,0.75,750.0
Slovak Republic,1995,60.0,,
Slovenia,1995,60.0,2.12,2120.0
Sweden,1995,350.0,2.84,2840.0
Eswatini,1995,1800.0,,
Chad,1995,3800.0,,
Togo,1995,1800.0,0.076,76.0
Thailand,1995,34.0,0.239,239.0
Tajikistan,1995,60.0,2.05,2050.0
Trinidad and Tobago,1995,350.0,0.905,905.0
Tunisia,1995,60.0,0.642,642.0
Turkey,1995,60.0,1.14,1140.0
Tanzania,1995,76.0,0.041,41.0
Uganda,1995,110.0,,
Ukraine,1995,350.0,4.41,4410.0
Uruguay,1995,60.0,3.56,3560.0
USA,1995,59.0,2.43,2430.0
Uzbekistan,1995,60.0,3.22,3220.0
Venezuela,1995,2200.0,1.94,1940.0
Vietnam,1995,1300.0,,
Yemen,1995,60.0,0.247,247.0
South Africa,1995,26.0,,
Zambia,1995,49.0,0.069,69.0
Zimbabwe,1995,82.0,0.148,148.0
Afghanistan,1996,150.0,,
Angola,1996,5300.0,,
Argentina,1996,3200.0,,
Armenia,1996,60.0,,
Australia,1996,600.0,2.4,2400.0
Austria,1996,60.0,3.59,3590.0
Azerbaijan,1996,60.0,3.67,3670.0
Burundi,1996,11.0,,
Belgium,1996,150.0,3.62,3620.0
Benin,1996,1300.0,,
Burkina Faso,1996,15.0,0.035,35.0
Bangladesh,1996,60.0,,
Bulgaria,1996,60.0,3.52,3520.0
Bahamas,1996,600.0,1.52,1520.0
Belarus,1996,60.0,3.12,3120.0
Belize,1996,150.0,0.548,548.0
Bolivia,1996,2100.0,,
Brazil,1996,13.0,1.25,1250.0
Barbados,1996,60.0,,
Bhutan,1996,60.0,,
Botswana,1996,5500.0,,
Central African Republic,1996,8600.0,,
Canada,1996,2300.0,2.1,2100.0
Switzerland,1996,600.0,3.21,3210.0
China,1996,,1.2,1200.0
Cote d'Ivoire,1996,28.0,0.09,90.0
Cameroon,1996,12.0,0.074,74.0
"Congo, Rep.",1996,5500.0,,
Colombia,1996,5600.0,1.09,1090.0
Comoros,1996,60.0,,
Costa Rica,1996,150.0,0.864,864.0
Cuba,1996,150.0,5.49,5490.0
Czech Republic,1996,60.0,2.99,2990.0
Germany,1996,2500.0,3.12,3120.0
Djibouti,1996,300.0,0.14,140.0
Denmark,1996,120.0,2.7,2700.0
Dominican Republic,1996,2200.0,,
Algeria,1996,60.0,,
Ecuador,1996,1400.0,1.31,1310.0
Egypt,1996,60.0,2.02,2020.0
Eritrea,1996,600.0,0.03,30.0
Spain,1996,5900.0,2.74,2740.0
Estonia,1996,60.0,3.11,3110.0
Finland,1996,60.0,2.26,2260.0
Fiji,1996,60.0,,
France,1996,5600.0,3.33,3330.0
Gabon,1996,600.0,,
UK,1996,1300.0,1.8,1800.0
Georgia,1996,60.0,3.12,3120.0
Ghana,1996,6200.0,0.062,62.0
Guinea,1996,4500.0,,
Gambia,1996,60.0,,
Guinea-Bissau,1996,300.0,0.166,166.0
Equatorial Guinea,1996,60.0,0.246,246.0
Greece,1996,350.0,3.84,3840.0
Guatemala,1996,600.0,,
Guyana,1996,350.0,,
Honduras,1996,5100.0,,
Croatia,1996,60.0,2.62,2620.0
Haiti,1996,10.0,,
Hungary,1996,350.0,3.04,3040.0
Indonesia,1996,60.0,,
India,1996,51.0,,
Ireland,1996,60.0,2.11,2110.0
Iran,1996,600.0,0.85,850.0
Iceland,1996,60.0,3.12,3120.0
Israel,1996,60.0,3.61,3610.0
Italy,1996,4200.0,3.9,3900.0
Jamaica,1996,1800.0,,
Japan,1996,350.0,1.84,1840.0
Kazakhstan,1996,60.0,3.59,3590.0
Kenya,1996,74.0,,
Kyrgyz Republic,1996,60.0,3.21,3210.0
Cambodia,1996,4100.0,0.112,112.0
South Korea,1996,350.0,1.17,1170.0
Lao,1996,60.0,,
Lebanon,1996,60.0,,
Liberia,1996,1400.0,,
Sri Lanka,1996,60.0,0.279,279.0
Lesotho,1996,4000.0,,
Lithuania,1996,60.0,3.6,3600.0
Luxembourg,1996,60.0,2.32,2320.0
Latvia,1996,60.0,2.75,2750.0
Morocco,1996,300.0,,
Moldova,1996,150.0,3.48,3480.0
Madagascar,1996,1100.0,0.107,107.0
Maldives,1996,60.0,0.656,656.0
Mexico,1996,7600.0,1.68,1680.0
Mali,1996,4100.0,0.063,63.0
Malta,1996,60.0,,
Myanmar,1996,3900.0,,
Mongolia,1996,60.0,,
Mozambique,1996,15.0,,
Mauritania,1996,350.0,,
Mauritius,1996,60.0,,
Malawi,1996,41.0,,
Malaysia,1996,1500.0,0.496,496.0
Namibia,1996,2600.0,,
Niger,1996,1800.0,0.024,24.0
Nigeria,1996,54.0,,
Nicaragua,1996,60.0,,
Netherlands,1996,600.0,,
Norway,1996,60.0,3.05,3050.0
Nepal,1996,2300.0,0.04,40.0
New Zealand,1996,60.0,2.05,2050.0
Oman,1996,60.0,,
Pakistan,1996,300.0,0.541,541.0
Panama,1996,1500.0,1.22,1220.0
Peru,1996,3900.0,,
Philippines,1996,60.0,1.23,1230.0
Papua New Guinea,1996,600.0,,
Poland,1996,350.0,2.37,2370.0
Portugal,1996,600.0,3.0,3000.0
Qatar,1996,60.0,1.26,1260.0
Romania,1996,350.0,,
Rwanda,1996,17.0,,
Sudan,1996,3100.0,0.09,90.0
Senegal,1996,600.0,0.093,93.0
Singapore,1996,60.0,,
Sierra Leone,1996,150.0,0.073,73.0
El Salvador,1996,350.0,,
Somalia,1996,1900.0,,
Serbia,1996,350.0,,
South Sudan,1996,,,
Sao Tome and Principe,1996,60.0,0.467,467.0
Suriname,1996,600.0,0.252,252.0
Slovak Republic,1996,60.0,,
Slovenia,1996,60.0,2.13,2130.0
Sweden,1996,150.0,2.86,2860.0
Eswatini,1996,2400.0,0.151,151.0
Chad,1996,4500.0,,
Togo,1996,2400.0,,
Thailand,1996,42.0,,
Tajikistan,1996,60.0,1.98,1980.0
Trinidad and Tobago,1996,350.0,0.729,729.0
Tunisia,1996,60.0,0.655,655.0
Turkey,1996,60.0,1.15,1150.0
Tanzania,1996,89.0,,
Uganda,1996,110.0,,
Ukraine,1996,600.0,2.99,2990.0
Uruguay,1996,150.0,3.7,3700.0
USA,1996,59.0,,
Uzbekistan,1996,60.0,3.13,3130.0
Venezuela,1996,2500.0,,
Vietnam,1996,1700.0,,
Yemen,1996,60.0,0.23,230.0
South Africa,1996,41.0,0.593,593.0
Zambia,1996,53.0,,
Zimbabwe,1996,96.0,,
Afghanistan,1997,150.0,0.11,110.0
Angola,1997,6300.0,0.059,59.0
Argentina,1997,3100.0,,
Armenia,1997,60.0,,
Australia,1997,350.0,2.4,2400.0
Austria,1997,60.0,3.67,3670.0
Azerbaijan,1997,60.0,3.61,3610.0
Burundi,1997,12.0,,
Belgium,1997,150.0,3.69,3690.0
Benin,1997,1700.0,,
Burkina Faso,1997,15.0,0.038,38.0
Bangladesh,1997,60.0,0.2,200.0
Bulgaria,1997,60.0,3.44,3440.0
Bahamas,1997,600.0,,
Belarus,1997,60.0,3.16,3160.0
Belize,1997,150.0,,
Bolivia,1997,2100.0,,
Brazil,1997,13.0,1.28,1280.0
Barbados,1997,60.0,,
Bhutan,1997,60.0,,
Botswana,1997,7100.0,,
Central African Republic,1997,10.0,,
Canada,1997,600.0,2.1,2100.0
Switzerland,1997,350.0,3.27,3270.0
China,1997,,1.22,1220.0
Cote d'Ivoire,1997,34.0,,
Cameroon,1997,16.0,,
"Congo, Rep.",1997,5600.0,,
Colombia,1997,6500.0,1.13,1130.0
Comoros,1997,60.0,0.074,74.0
Costa Rica,1997,150.0,0.872,872.0
Cuba,1997,150.0,5.69,5690.0
Czech Republic,1997,60.0,3.12,3120.0
Germany,1997,1700.0,3.14,3140.0
Djibouti,1997,300.0,,
Denmark,1997,60.0,2.78,2780.0
Dominican Republic,1997,2600.0,2.16,2160.0
Algeria,1997,60.0,,
Ecuador,1997,1500.0,1.32,1320.0
Egypt,1997,60.0,1.6,1600.0
Eritrea,1997,1000.0,,
Spain,1997,3700.0,2.86,2860.0
Estonia,1997,60.0,3.19,3190.0
Finland,1997,60.0,2.29,2290.0
Fiji,1997,60.0,0.476,476.0
France,1997,2700.0,3.34,3340.0
Gabon,1997,1000.0,,
UK,1997,600.0,1.85,1850.0
Georgia,1997,60.0,3.71,3710.0
Ghana,1997,8200.0,,
Guinea,1997,5000.0,,
Gambia,1997,60.0,0.035,35.0
Guinea-Bissau,1997,300.0,,
Equatorial Guinea,1997,60.0,,
Greece,1997,150.0,3.96,3960.0
Guatemala,1997,600.0,0.933,933.0
Guyana,1997,350.0,0.181,181.0
Honduras,1997,5900.0,0.832,832.0
Croatia,1997,60.0,2.64,2640.0
Haiti,1997,11.0,,
Hungary,1997,350.0,3.08,3080.0
Indonesia,1997,60.0,,
India,1997,67.0,,
Ireland,1997,60.0,2.14,2140.0
Iran,1997,600.0,,
Iceland,1997,60.0,3.26,3260.0
Israel,1997,60.0,3.68,3680.0
Italy,1997,2300.0,3.99,3990.0
Jamaica,1997,2100.0,,
Japan,1997,350.0,,
Kazakhstan,1997,60.0,3.29,3290.0
Kenya,1997,87.0,,
Kyrgyz Republic,1997,60.0,3.03,3030.0
Cambodia,1997,4900.0,,
South Korea,1997,350.0,1.23,1230.0
Lao,1997,60.0,,
Lebanon,1997,60.0,2.1,2100.0
Liberia,1997,1900.0,0.023,23.0
Sri Lanka,1997,60.0,0.305,305.0
Lesotho,1997,5900.0,,
Lithuania,1997,60.0,3.64,3640.0
Luxembourg,1997,60.0,2.4,2400.0
Latvia,1997,60.0,2.79,2790.0
Morocco,1997,300.0,0.46,460.0
Moldova,1997,150.0,3.51,3510.0
Madagascar,1997,1100.0,,
Maldives,1997,60.0,,
Mexico,1997,7900.0,1.72,1720.0
Mali,1997,4900.0,,
Malta,1997,60.0,2.38,2380.0
Myanmar,1997,4900.0,,
Mongolia,1997,60.0,,
Mozambique,1997,19.0,,
Mauritania,1997,600.0,,
Mauritius,1997,60.0,,
Malawi,1997,45.0,,
Malaysia,1997,2000.0,0.658,658.0
Namibia,1997,3500.0,0.295,295.0
Niger,1997,2100.0,0.035,35.0
Nigeria,1997,71.0,,
Nicaragua,1997,60.0,0.856,856.0
Netherlands,1997,350.0,,
Norway,1997,60.0,3.08,3080.0
Nepal,1997,2700.0,0.04,40.0
New Zealand,1997,60.0,2.18,2180.0
Oman,1997,60.0,0.856,856.0
Pakistan,1997,300.0,0.555,555.0
Panama,1997,1700.0,1.21,1210.0
Peru,1997,4600.0,0.932,932.0
Philippines,1997,60.0,1.24,1240.0
Papua New Guinea,1997,600.0,,
Poland,1997,350.0,2.37,2370.0
Portugal,1997,350.0,3.04,3040.0
Qatar,1997,60.0,1.26,1260.0
Romania,1997,350.0,,
Rwanda,1997,18.0,,
Sudan,1997,3800.0,,
Senegal,1997,600.0,0.093,93.0
Singapore,1997,60.0,,
Sierra Leone,1997,350.0,,
El Salvador,1997,350.0,1.07,1070.0
Somalia,1997,2100.0,0.04,40.0
Serbia,1997,350.0,,
South Sudan,1997,,,
Sao Tome and Principe,1997,60.0,,
Suriname,1997,600.0,,
Slovak Republic,1997,60.0,,
Slovenia,1997,60.0,2.23,2230.0
Sweden,1997,150.0,2.87,2870.0
Eswatini,1997,3000.0,,
Chad,1997,5200.0,0.026,26.0
Togo,1997,3200.0,,
Thailand,1997,49.0,0.272,272.0
Tajikistan,1997,120.0,1.93,1930.0
Trinidad and Tobago,1997,350.0,0.72,720.0
Tunisia,1997,60.0,0.676,676.0
Turkey,1997,60.0,1.17,1170.0
Tanzania,1997,100.0,,
Uganda,1997,110.0,,
Ukraine,1997,1400.0,2.97,2970.0
Uruguay,1997,150.0,,
USA,1997,38.0,,
Uzbekistan,1997,60.0,3.07,3070.0
Venezuela,1997,2800.0,,
Vietnam,1997,2200.0,0.569,569.0
Yemen,1997,150.0,0.223,223.0
South Africa,1997,61.0,,
Zambia,1997,57.0,,
Zimbabwe,1997,110.0,,
Afghanistan,1998,150.0,,
Angola,1998,7300.0,,
Argentina,1998,3000.0,3.0,3000.0
Armenia,1998,60.0,,
Australia,1998,350.0,2.4,2400.0
Austria,1998,60.0,3.79,3790.0
Azerbaijan,1998,60.0,3.54,3540.0
Burundi,1998,12.0,,
Belgium,1998,60.0,3.74,3740.0
Benin,1998,2200.0,,
Burkina Faso,1998,15.0,,
Bangladesh,1998,60.0,,
Bulgaria,1998,60.0,3.46,3460.0
Bahamas,1998,600.0,0.989,989.0
Belarus,1998,60.0,3.23,3230.0
Belize,1998,150.0,,
Bolivia,1998,2100.0,,
Brazil,1998,11.0,1.27,1270.0
Barbados,1998,60.0,,
Bhutan,1998,60.0,,
Botswana,1998,9000.0,0.256,256.0
Central African Republic,1998,12.0,,
Canada,1998,350.0,1.86,1860.0
Switzerland,1998,60.0,3.33,3330.0
China,1998,,1.21,1210.0
Cote d'Ivoire,1998,39.0,,
Cameroon,1998,20.0,,
"Congo, Rep.",1998,5600.0,0.734,734.0
Colombia,1998,7400.0,1.18,1180.0
Comoros,1998,60.0,,
Costa Rica,1998,350.0,0.901,901.0
Cuba,1998,150.0,5.75,5750.0
Czech Republic,1998,60.0,3.04,3040.0
Germany,1998,1200.0,3.18,3180.0
Djibouti,1998,600.0,,
Denmark,1998,60.0,2.86,2860.0
Dominican Republic,1998,3000.0,,
Algeria,1998,120.0,1.0,1000.0
Ecuador,1998,1700.0,1.31,1310.0
Egypt,1998,60.0,,
Eritrea,1998,1200.0,,
Spain,1998,1800.0,2.91,2910.0
Estonia,1998,60.0,2.95,2950.0
Finland,1998,60.0,2.32,2320.0
Fiji,1998,60.0,0.357,357.0
France,1998,1700.0,3.35,3350.0
Gabon,1998,1300.0,,
UK,1998,350.0,1.9,1900.0
Georgia,1998,60.0,3.85,3850.0
Ghana,1998,10.0,,
Guinea,1998,5400.0,,
Gambia,1998,120.0,,
Guinea-Bissau,1998,300.0,,
Equatorial Guinea,1998,60.0,,
Greece,1998,150.0,4.09,4090.0
Guatemala,1998,1100.0,,
Guyana,1998,350.0,,
Honduras,1998,6400.0,,
Croatia,1998,60.0,2.5,2500.0
Haiti,1998,11.0,0.242,242.0
Hungary,1998,350.0,3.08,3080.0
Indonesia,1998,60.0,,
India,1998,85.0,,
Ireland,1998,60.0,2.2,2200.0
Iran,1998,1300.0,1.05,1050.0
Iceland,1998,60.0,3.31,3310.0
Israel,1998,60.0,3.76,3760.0
Italy,1998,1500.0,4.07,4070.0000000000005
Jamaica,1998,2400.0,,
Japan,1998,350.0,1.89,1890.0
Kazakhstan,1998,150.0,3.44,3440.0
Kenya,1998,100.0,,
Kyrgyz Republic,1998,60.0,2.97,2970.0
Cambodia,1998,5700.0,0.147,147.0
South Korea,1998,150.0,1.27,1270.0
Lao,1998,60.0,,
Lebanon,1998,60.0,,
Liberia,1998,2500.0,,
Sri Lanka,1998,60.0,0.346,346.0
Lesotho,1998,8100.0,,
Lithuania,1998,60.0,3.6,3600.0
Luxembourg,1998,60.0,2.44,2440.0
Latvia,1998,60.0,2.68,2680.0
Morocco,1998,600.0,,
Moldova,1998,350.0,3.58,3580.0
Madagascar,1998,1200.0,,
Maldives,1998,60.0,,
Mexico,1998,7500.0,1.73,1730.0
Mali,1998,5700.0,,
Malta,1998,60.0,2.51,2510.0
Myanmar,1998,6100.0,,
Mongolia,1998,60.0,2.43,2430.0
Mozambique,1998,24.0,,
Mauritania,1998,600.0,,
Mauritius,1998,150.0,,
Malawi,1998,50.0,,
Malaysia,1998,2500.0,,
Namibia,1998,4600.0,,
Niger,1998,2300.0,0.033,33.0
Nigeria,1998,91.0,,
Nicaragua,1998,60.0,,
Netherlands,1998,350.0,,
Norway,1998,60.0,3.17,3170.0
Nepal,1998,3000.0,0.04,40.0
New Zealand,1998,60.0,2.23,2230.0
Oman,1998,60.0,0.921,921.0
Pakistan,1998,600.0,0.568,568.0
Panama,1998,1900.0,1.2,1200.0
Peru,1998,5300.0,,
Philippines,1998,60.0,,
Papua New Guinea,1998,1000.0,0.073,73.0
Poland,1998,150.0,2.35,2350.0
Portugal,1998,350.0,3.1,3100.0
